phylum	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Acidobacteriota	272	572	73	73	74	50	34	21	17	23	50	60	91	127	42	44	137	53
Actinomycetota	87713	512965	20741	36562	42541	39053	1438	770	546	814	44031	34084	51292	156715	25731	33509	78487	35310
Bacillota	1494377	5434152	268762	370411	386863	318755	83847	111143	52356	78525	323721	297026	535055	890319	387203	385518	940300	497582
Bacteroidota	26182	25339	55497	129482	112040	225627	371089	585869	349423	393911	41106	59857	199097	74547	64663	79207	270022	81424
Bdellovibrionota	98	158	11	15	25	27	10	14	16	11	14	21	33	48	21	21	65	19
Campylobacterota	7864	13695	5879	3682	2426	4969	9192	7511	6185	9995	652	1117	5930	1948	2041	2309	12456	2619
Chlamydiota	92	59	10	7	11	10	2	7	4	4	22	13	22	53	15	22	40	22
Chlorobiota	89	142	21	16	19	14	5	6	4	9	11	14	33	43	23	30	56	20
Chloroflexota	83	137	7	20	15	25	14	9	10	12	13	12	23	36	11	7	26	16
Chordata	23419	6517	372	502	570	513	998	1096	891	1286	935	983	1476	1957	1241	1469	3088	1327
Cyanobacteriota	868	1735	169	203	193	219	92	99	90	119	229	201	338	578	243	267	646	273
Deferribacterota	103	141	21	27	27	20	12	34	27	22	14	29	38	42	20	31	70	27
Deinococcota	124	431	31	36	27	42	12	9	5	10	32	32	62	83	34	21	75	28
Dictyoglomota	48	79	12	10	12	19	8	10	12	10	14	15	25	29	19	21	56	27
Euryarchaeota	781	1997	136	188	181	221	53	57	47	76	213	209	312	581	255	246	636	281
Fusobacteriota	27668	37454	1956	7169	6223	4518	13196	24627	18463	22049	2755	4392	8889	6117	4930	6336	19585	4968
missing	62	366	7	21	16	17	1	5	2	2	13	20	18	78	20	17	45	13
Mycoplasmatota	782	1019	81	95	119	128	115	196	161	176	192	183	313	406	277	267	632	316
Myxococcota	381	1884	66	84	107	105	15	8	4	5	107	115	121	323	77	78	229	77
Nitrospirota	66	82	6	9	9	9	3	6	7	5	19	19	22	39	14	18	25	15
Nucleocytoviricota	50	141	13	15	23	10	5	5	10	14	10	15	19	21	17	17	48	20
Planctomycetota	427	909	91	57	61	62	27	31	19	34	54	67	83	172	49	53	131	47
Pseudomonadota	18618	40869	4020	3976	4565	4758	2654	2945	2131	2637	3458	3462	5539	9783	3452	3691	9751	3994
Spirochaetota	1487	2056	197	247	279	234	90	122	103	129	237	238	398	608	217	296	646	325
Synergistota	147	240	25	35	37	28	14	12	5	10	20	18	37	74	22	20	70	24
Thermodesulfobacteriota	1261	3165	195	284	355	353	83	93	72	84	271	271	421	813	262	278	738	313
Thermoproteota	52	80	5	14	4	3	8	11	7	12	11	14	27	27	16	15	41	21
Thermotogota	214	317	26	31	44	44	45	69	43	72	45	51	88	133	69	59	136	64
Uroviricota	33	44	16	27	15	18	16	15	12	14	17	12	18	38	24	17	46	19
Verrucomicrobiota	281	811	60	85	125	127	10	20	13	18	69	75	126	177	86	75	196	91
